miRNA,SRR1568362,SRR1568363,SRR1568364,SRR1568365,SRR1568366,SRR1568367,SRR1568368,SRR1568369,SRR1568370,SRR1568371,SRR1568372,SRR1568373,SRR1568374,SRR1568375,SRR1568376,SRR1568377,SRR1568378,SRR1568379,SRR1568380,SRR1568381,SRR1568382,SRR1568383,SRR1568384,SRR1568385,SRR1568386,SRR1568387,SRR1568388,SRR1568389,SRR1568390,SRR1568391,SRR1568392,SRR1568393,SRR1568394,SRR1568395,SRR1568396,SRR1568397,SRR1568398,SRR1568399,SRR1568400,SRR1568401,SRR1568402,SRR1568403,SRR1568404,SRR1568405,SRR1568406,SRR1568407,SRR1568408,SRR1568409,SRR1568410,SRR1568411,SRR1568412,SRR1568413,SRR1568414,SRR1568415,SRR1568416,SRR1568417,SRR1568418,SRR1568419,SRR1568420,SRR1568421,SRR1568422,SRR1568423,SRR1568424,SRR1568425,SRR1568426,SRR1568427,SRR1568428,SRR1568429,SRR1568430,SRR1568431,SRR1568432,SRR1568433,SRR1568434,SRR1568435,SRR1568436,SRR1568437,SRR1568438,SRR1568439,SRR1568440,SRR1568441,SRR1568442,SRR1568443,SRR1568444,SRR1568445,SRR1568446,SRR1568447,SRR1568448,SRR1568449,SRR1568450,SRR1568451,SRR1568452,SRR1568453,SRR1568454,SRR1568455,SRR1568456,SRR1568457,SRR1568458,SRR1568459,SRR1568460,SRR1568461,SRR1568462,SRR1568463,SRR1568464,SRR1568465,SRR1568466,SRR1568467,SRR1568468,SRR1568469,SRR1568470,SRR1568471,SRR1568472,SRR1568473,SRR1568474,SRR1568475,SRR1568476,SRR1568477,SRR1568478,SRR1568479,SRR1568480,SRR1568481,SRR1568482,SRR1568483,SRR1568484,SRR1568485,SRR1568486,SRR1568487,SRR1568488,SRR1568489,SRR1568490,SRR1568491,SRR1568492,SRR1568493,SRR1568494,SRR1568495,SRR1568496,SRR1568497,SRR1568498,SRR1568499,SRR1568500,SRR1568501,SRR1568502,SRR1568503,SRR1568504,SRR1568505,SRR1568506,SRR1568507,SRR1568508,SRR1568509,SRR1568510,SRR1568511,SRR1568512,SRR1568513,SRR1568514,SRR1568515,SRR1568516,SRR1568517,SRR1568518,SRR1568519,SRR1568520,SRR1568521,SRR1568522,SRR1568523,SRR1568524,SRR1568525,SRR1568526,SRR1568527,SRR1568528,SRR1568529,SRR1568530,SRR1568531,SRR1568532,SRR1568533,SRR1568534,SRR1568535,SRR1568536,SRR1568537,SRR1568538,SRR1568539,SRR1568540,SRR1568541,SRR1568542,SRR1568543,SRR1568544,SRR1568545,SRR1568546,SRR1568547,SRR1568548,SRR1568549,SRR1568550,SRR1568551,SRR1568552,SRR1568553,SRR1568554,SRR1568555,SRR1568556,SRR1568557,SRR1568558,SRR1568559,SRR1568560,SRR1568561,SRR1568562,SRR1568563,SRR1568564,SRR1568565,SRR1568566,SRR1568567,SRR1568568,SRR1568569,SRR1568570,SRR1568571,SRR1568572,SRR1568573,SRR1568574,SRR1568575,SRR1568576,SRR1568577,SRR1568578,SRR1568579,SRR1568580,SRR1568581,SRR1568582,SRR1568583,SRR1568584,SRR1568585,SRR1568586,SRR1568587,SRR1568588,SRR1568589,SRR1568590,SRR1568591,SRR1568592,SRR1568593,SRR1568594,SRR1568595,SRR1568596,SRR1568597,SRR1568598,SRR1568599,SRR1568600,SRR1568601,SRR1568602,SRR1568603,SRR1568604,SRR1568605,SRR1568606,SRR1568607,SRR1568608,SRR1568609,SRR1568610,SRR1568611,SRR1568612,SRR1568613,SRR1568614,SRR1568615,SRR1568616,SRR1568617,SRR1568618,SRR1568619,SRR1568620,SRR1568621,SRR1568622,SRR1568623,SRR1568624,SRR1568625,SRR1568626,SRR1568627,SRR1568628,SRR1568629,SRR1568630,SRR1568631,SRR1568632,SRR1568633,SRR1568634,SRR1568635,SRR1568636,SRR1568637,SRR1568638,SRR1568639,SRR1568640,SRR1568641,SRR1568642,SRR1568643,SRR1568644,SRR1568645,SRR1568646,SRR1568647,SRR1568648,SRR1568649,SRR1568650,SRR1568651,SRR1568652,SRR1568653,SRR1568654,SRR1568655,SRR1568656,SRR1568657,SRR1568658,SRR1568659,SRR1568660,SRR1568661,SRR1568662,SRR1568663,SRR1568664,SRR1568665,SRR1568666,SRR1568667,SRR1568668,SRR1568669,SRR1568670,SRR1568671,SRR1568672,SRR1568673,SRR1568674,SRR1568675,SRR1568676,SRR1568677,SRR1568678,SRR1568679,SRR1568680,SRR1568681,SRR1568682,SRR1568683,SRR1568684,SRR1568685,SRR1568686,SRR1568687,SRR1568688,SRR1568689,SRR1568690,SRR1568691,SRR1568692,SRR1568693,SRR1568694,SRR1568695,SRR1568696,SRR1568697,SRR1568698,SRR1568699,SRR1568700,SRR1568701,SRR1568702,SRR1568703,SRR1568704,SRR1568705,SRR1568706,SRR1568707,SRR1568708,SRR1568709,SRR1568710,SRR1568711,SRR1568712,SRR1568713,SRR1568714,SRR1568715,SRR1568716,SRR1568717,SRR1568718,SRR1568719,SRR1568720,SRR1568721,SRR1568722,SRR1568723,SRR1568724,SRR1568725,SRR1568726,SRR1568727,SRR1568728,SRR1568729,SRR1568730,SRR1568731,SRR1568732,SRR1568733,SRR1568734,SRR1568735,SRR1568736,SRR1568737,SRR1568738,SRR1568739,SRR1568740,SRR1568741,SRR1568742,SRR1568743,SRR1568744,SRR1568745,SRR1568746,SRR1568747,SRR1568748,SRR1568749,SRR1568750,SRR1568751,SRR1568752,SRR1568753,SRR1568754,SRR1568755,SRR1568756
hsa-miR-3616-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-3616-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-3617-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-3617-5p,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,6,0,2,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0,10,0,0,1,0,0,0,1,0,6,0,0,0,5,0,1,0,3,0,0,0,2,0,0,1,1,1,0,0,0,0,0,0,0,0,0,6,1,0,1,0,1,0,0,0,18,0,2,0,0,7,9,0,3,0,2,0,0,1,0,2,0,1,0,0,0,0,0,3,2,1,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,10,0,0,0,0,0,2,0,1,2,0,4,0,0,0,0,0,0,0,3,0,0,0,4,0,1,0,0,0,0,0,2,0,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,1,0,0,0,0,0,4,7,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0
hsa-miR-3618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-3619-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-3619-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-362-3p,0,0,0,0,0,0,0,4,0,2,7,0,0,6,0,0,0,6,1,6,0,6,3,2,0,2,1,3,0,0,0,5,0,2,0,0,0,31,2,0,1,0,0,0,5,0,0,0,0,0,0,0,0,16,9,0,0,3,0,0,0,0,9,30,0,6,0,0,0,0,0,0,4,0,0,2,1,0,1,0,0,0,1,8,0,2,0,0,4,0,0,9,0,0,1,8,4,0,7,1,0,1,3,2,0,3,0,0,5,0,0,0,0,1,0,0,1,2,0,1,4,3,0,0,3,0,1,0,0,0,0,1,0,0,0,3,4,0,3,0,0,4,0,0,13,2,1,0,1,0,4,0,10,0,8,0,1,0,9,0,0,0,2,5,0,1,3,1,1,0,0,4,1,0,8,2,5,2,0,8,4,0,6,0,0,0,6,0,3,7,4,46,8,2,0,0,2,0,1,0,7,0,0,2,0,0,0,0,9,8,94,5,0,7,0,0,0,3,12,0,0,0,23,0,0,0,3,0,0,0,0,5,0,0,2,0,1,0,0,5,0,0,17,2,0,0,0,0,2,3,57,32,0,0,59,0,0,3,1,0,0,1,6,0,11,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,2,1,0,2,0,0,0,0,0,0,0,2,0,13,0,0,0,0,0,3,0,0,2,0,2,0,4,0,0,0,1,2,0,0,0,1,0,10,0,0,1,0,0,2,2,0,0,0,0,0,0,0,0,0,1,0,1,3,0,0,1,0,0,0,10,2,0,0,0,0,0,0,0,1,0,0,0,7,5,7,2,0,1,3,1,0,0,1,0,0,4,0,0,0,0,0,0,0,0,2,1,7,0,0,21,0,6,0,0,0
hsa-miR-362-5p,1,11,0,1,0,0,0,1,0,47,11,0,0,1,1,7,0,0,0,4,0,0,2,0,12,0,0,5,0,0,0,4,1,4,9,3,5,14,0,0,4,0,0,0,6,2,0,2,0,0,0,0,3,4,2,1,5,0,0,0,0,0,11,10,1,0,0,0,0,1,1,10,7,0,1,0,0,2,5,24,0,3,3,15,0,2,0,0,5,0,0,17,1,1,8,10,1,2,2,6,0,4,1,0,0,1,0,3,3,0,0,0,3,0,2,0,3,3,5,4,6,1,2,0,0,2,0,9,0,0,0,7,0,3,0,1,46,1,14,0,0,8,4,1,4,4,6,0,6,0,7,0,14,0,37,0,6,16,34,0,1,0,12,1,3,6,16,1,4,1,0,3,3,3,4,3,10,13,2,1,17,0,8,0,0,0,20,0,15,12,11,24,389,1,14,5,5,4,0,9,2,2,0,6,1,2,1,1,35,10,13,10,0,20,1,4,0,6,2,3,0,1,10,0,0,1,0,0,0,0,0,73,1,1,0,0,3,6,0,6,8,0,20,22,0,0,0,0,4,3,6,26,1,2,18,0,0,3,6,0,0,1,1,3,7,0,0,0,0,0,3,0,5,0,1,0,0,9,0,0,4,4,2,0,0,0,3,0,0,2,0,0,1,1,0,0,11,0,13,0,0,0,0,18,6,0,0,7,18,0,8,3,2,0,0,0,20,0,4,5,14,1,10,2,0,2,2,1,2,0,1,2,0,0,0,1,0,2,2,8,1,12,27,0,0,0,1,0,1,1,10,5,2,2,0,0,4,0,0,0,2,2,4,4,5,3,9,4,3,3,0,3,0,0,0,1,2,0,7,0,2,5,0,4,5,1,5,0,0,4,0,31,3,5,13
hsa-miR-3620-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,1,2,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,5,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
hsa-miR-3620-5p,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,5,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,5,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,8,0,0,0,0,2,1,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,1,0,0,3,0,7,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,2,1,0,0,0,0,0,0,2,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-3621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-3622a-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
